,Target,OBC,OBC,Local Var,
,PacketID,0x25,,
,Enable/Disable,ENABLE,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (��a_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,CMD8.PARAM3_SIZE,,,PACKET,88,4,4,,,
,CMD8.PARAM4_SIZE,uint8_t,,PACKET,89,0,4,,,
,CMD8.PARAM5_SIZE,,,PACKET,89,4,4,,,
,CMD9.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+9].cmd_func),PACKET,90,0,32,HEX,,,,,,,,,
,CMD9.PARAM0_SIZE,uint8_t,,PACKET,94,0,4,,,
,CMD9.PARAM1_SIZE,,,PACKET,94,4,4,,,
,CMD9.PARAM2_SIZE,uint8_t,,PACKET,95,0,4,,,
,CMD9.PARAM3_SIZE,,,PACKET,95,4,4,,,
,CMD9.PARAM4_SIZE,uint8_t,,PACKET,96,0,4,,,
,CMD9.PARAM5_SIZE,,,PACKET,96,4,4,,,
,CMD10.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+10].cmd_func),PACKET,97,0,32,HEX,,,,,,,,,
,CMD10.PARAM0_SIZE,uint8_t,,PACKET,101,0,4,,,
,CMD10.PARAM1_SIZE,,,PACKET,101,4,4,,,
,CMD10.PARAM2_SIZE,uint8_t,,PACKET,102,0,4,,,
,CMD10.PARAM3_SIZE,,,PACKET,102,4,4,,,
,CMD10.PARAM4_SIZE,uint8_t,,PACKET,103,0,4,,,
,CMD10.PARAM5_SIZE,,,PACKET,103,4,4,,,
,CMD11.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+11].cmd_func),PACKET,104,0,32,HEX,,,,,,,,,
,CMD11.PARAM0_SIZE,uint8_t,,PACKET,108,0,4,,,
,CMD11.PARAM1_SIZE,,,PACKET,108,4,4,,,
,CMD11.PARAM2_SIZE,uint8_t,,PACKET,109,0,4,,,
,CMD11.PARAM3_SIZE,,,PACKET,109,4,4,,,
,CMD11.PARAM4_SIZE,uint8_t,,PACKET,110,0,4,,,
,CMD11.PARAM5_SIZE,,,PACKET,110,4,4,,,
,CMD12.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+12].cmd_func),PACKET,111,0,32,HEX,,,,,,,,,
,CMD12.PARAM0_SIZE,uint8_t,,PACKET,115,0,4,,,
,CMD12.PARAM1_SIZE,,,PACKET,115,4,4,,,
,CMD12.PARAM2_SIZE,uint8_t,,PACKET,116,0,4,,,
,CMD12.PARAM3_SIZE,,,PACKET,116,4,4,,,
,CMD12.PARAM4_SIZE,uint8_t,,PACKET,117,0,4,,,
,CMD12.PARAM5_SIZE,,,PACKET,117,4,4,,,
,CMD13.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+13].cmd_func),PACKET,118,0,32,HEX,,,,,,,,,
,CMD13.PARAM0_SIZE,uint8_t,,PACKET,122,0,4,,,
,CMD13.PARAM1_SIZE,,,PACKET,122,4,4,,,
,CMD13.PARAM2_SIZE,uint8_t,,PACKET,123,0,4,,,
,CMD13.PARAM3_SIZE,,,PACKET,123,4,4,,,
,CMD13.PARAM4_SIZE,uint8_t,,PACKET,124,0,4,,,
,CMD13.PARAM5_SIZE,,,PACKET,124,4,4,,,
,CMD14.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+14].cmd_func),PACKET,125,0,32,HEX,,,,,,,,,
,CMD14.PARAM0_SIZE,uint8_t,,PACKET,129,0,4,,,
,CMD14.PARAM1_SIZE,,,PACKET,129,4,4,,,
,CMD14.PARAM2_SIZE,uint8_t,,PACKET,130,0,4,,,
,CMD14.PARAM3_SIZE,,,PACKET,130,4,4,,,
,CMD14.PARAM4_SIZE,uint8_t,,PACKET,131,0,4,,,
,CMD14.PARAM5_SIZE,,,PACKET,131,4,4,,,
,CMD15.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+15].cmd_func),PACKET,132,0,32,HEX,,,,,,,,,
,CMD15.PARAM0_SIZE,uint8_t,,PACKET,136,0,4,,,
,CMD15.PARAM1_SIZE,,,PACKET,136,4,4,,,
,CMD15.PARAM2_SIZE,uint8_t,,PACKET,137,0,4,,,
,CMD15.PARAM3_SIZE,,,PACKET,137,4,4,,,
,CMD15.PARAM4_SIZE,uint8_t,,PACKET,138,0,4,,,
,CMD15.PARAM5_SIZE,,,PACKET,138,4,4,,,
,CMD16.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+16].cmd_func),PACKET,139,0,32,HEX,,,,,,,,,
,CMD16.PARAM0_SIZE,uint8_t,,PACKET,143,0,4,,,
,CMD16.PARAM1_SIZE,,,PACKET,143,4,4,,,
,CMD16.PARAM2_SIZE,uint8_t,,PACKET,144,0,4,,,
,CMD16.PARAM3_SIZE,,,PACKET,144,4,4,,,
,CMD16.PARAM4_SIZE,uint8_t,,PACKET,145,0,4,,,
,CMD16.PARAM5_SIZE,,,PACKET,145,4,4,,,
,CMD17.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+17].cmd_func),PACKET,146,0,32,HEX,,,,,,,,,
,CMD17.PARAM0_SIZE,uint8_t,,PACKET,150,0,4,,,
,CMD17.PARAM1_SIZE,,,PACKET,150,4,4,,,
,CMD17.PARAM2_SIZE,uint8_t,,PACKET,151,0,4,,,
,CMD17.PARAM3_SIZE,,,PACKET,151,4,4,,,
,CMD17.PARAM4_SIZE,uint8_t,,PACKET,152,0,4,,,
